Original_Text,Feedback_Text,Cleaned_Text_Main,VADER_Score_Eng,VADER_Sentiment_Eng,VADER_Score_Aug,VADER_Sentiment_Aug,Filipino_Keyword_Score,Filipino_Keyword_Sentiment,Filipino_Positive_Keywords_Found,Filipino_Negative_Keywords_Found,TextBlob_Polarity,TextBlob_Subjectivity
"be more lively, class is at times boring.","be more lively, class is at times boring.",time lively class boring,0.2247,Positive (VADER Eng),0.1531,Positive (VADER Aug),-1,Negative (Filipino Keywords),,boring,-0.12121212121212122,0.6666666666666666
"NICE IN .....TEACHING ,,,, HE HELPS STUDENTS .... SO THAT DEY CAN UNDERSTAND ,,,DA SUBJECT","NICE IN .....TEACHING ,,,, HE HELPS STUDENTS .... SO THAT DEY CAN UNDERSTAND ,,,DA SUBJECT",help teaching student understand nice subject da dey,0.7824,Positive (VADER Eng),0.6705,Positive (VADER Aug),1,Positive (Filipino Keywords),nice,,0.21666666666666667,0.6666666666666666
NICE,NICE,nice,0.4215,Positive (VADER Eng),0.4215,Positive (VADER Aug),1,Positive (Filipino Keywords),nice,,0.6,1.0
he is kind and very considerate to his students...and he knows what he is teaching..and also he makes the class fun..,he is kind and very considerate to his students...and he knows what he is teaching..and also he makes the class fun..,fun class teachingand considerate studentsand,0.7645,Positive (VADER Eng),0.7351,Positive (VADER Aug),1,Positive (Filipino Keywords),considerate,,0.3666666666666667,0.4666666666666666
Ü EXPLAINING THE SUBJECT MATTER PRECISELY,Ü EXPLAINING THE SUBJECT MATTER PRECISELY,subject matter explaining precisely,0.0258,Neutral (VADER Eng),0.0258,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.11666666666666668,0.5666666666666667
Sir Aquino has a very positive attitude towards his students...He don't get angry and that encourages us to be more responsible in doing our responsibilities as his student,Sir Aquino has a very positive attitude towards his students...He don't get angry and that encourages us to be more responsible in doing our responsibilities as his student,responsible student responsibility positive attitude encourages aquino studentshe angry,0.9019,Positive (VADER Eng),0.6705,Positive (VADER Aug),1,Positive (Filipino Keywords),responsible,,0.12386363636363637,0.6897727272727272
"maybe for me,when asking students and the students cannot answer, he wil just say the answer direct to the point","maybe for me,when asking students and the students cannot answer, he wil just say the answer direct to the point",answer student mewhen wil direct,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.1,0.4
He explains every topic very well until everyone understands it.  He is not a boring instructor.,He explains every topic very well until everyone understands it.  He is not a boring instructor.,boring understands topic explains instructor,0.5195,Positive (VADER Eng),-0.3182,Negative (VADER Aug),-1,Negative (Filipino Keywords),,boring,0.35,0.65
the teacher's strength  is the understanding of the students on the lesson and the participation of each students.,the teacher's strength  is the understanding of the students on the lesson and the participation of each students.,understanding student teacher participation strength lesson,0.4939,Positive (VADER Eng),0.4939,Positive (VADER Aug),1,Positive (Filipino Keywords),understanding,,0.0,0.0
the teaching strategies,the teaching strategies,strategy teaching,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
"He explain the topic briefly and clearly, and give many examples as much as he could.","He explain the topic briefly and clearly, and give many examples as much as he could.",topic example explain,0.4019,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.2,0.35416666666666663
More strategies and giving the lecture and give more example as much as you could,More strategies and giving the lecture and give more example as much as you could,lecture strategy,0.3947,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.39999999999999997,0.39999999999999997
"g0oD..pc"",)","g0oD..pc"",)",godpc,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
GOOD TEACHING...ACTIVE............,GOOD TEACHING...ACTIVE............,teachingactive,0.4404,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.7,0.6000000000000001
explaining the topic clearly and systimatically,explaining the topic clearly and systimatically,topic systimatically explaining,0.4019,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.10000000000000002,0.3833333333333333
state the topic or title of the transaction,state the topic or title of the transaction,topic title transaction,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
